,label,component
0,Intel W680 工作站級 (1700腳位/DDR5),"華碩 PRO WS W680M-ACE SE(M-ATX/1A1H1P/雙Intel 2.5Gb+LAN 1Gb/註四年), $12990 ◆ ★"
1,Intel W680 工作站級 (1700腳位/DDR5),"華碩 PRO WS W680-ACE(ATX/1A1H1P/雙Intel 2.5Gb/註四年) 穩定.可靠性高, $9990 ◆ ★"
2,Intel W680 工作站級 (1700腳位/DDR5),"華碩 PRO WS W680-ACE IPMI(ATX/1A1H1P/雙Intel 2.5Gb/註四年)附華碩IPMI擴展卡, $13990 ◆ ★"
3,Intel Z890 工作站級 (1851腳位/DDR5),"華碩 PRO WS Z890-ACE SE(ATX/Marvell 10Gb+Intel 2.5Gb+LAN 1Gb)16+2+1+2相, $16990 ◆ ★"
4,Intel W790 伺服器級 (4677腳位/DDR5),"華碩 Pro WS W790-ACE(CEB/8*DDR5/Marvell 10Gb+Intel 2.5Gb/註四年)IPMI遠程管理, $27990 ◆ ★"
5,Intel W790 伺服器級 (4677腳位/DDR5),"華碩 Pro WS W790E-SAGE SE(EEB/8*DDR5/2*Intel 10G+LAN 1Gb)14+1+1功率級, $39990 ◆ ★"
6,Intel W790 伺服器級 (4677腳位/DDR5),"技嘉 W790 AI TOP(EEB/8*DDR5/Marvell 10Gb+Intel 10Gb/註冊五年保)16+2+2相, $32900 ◆ ★"
7,Intel W790 伺服器級 (4677腳位/DDR5),"華擎 W790 WS(EEB/8*DDR5/2*Marvell 10G+Intel 2.5Gb+無線)20+2相供電, $34990 ◆ ★ ↓任搭500↓"
8,Intel H610 / 1700腳位(DDR5)-12~14代皆支援,❤ [登錄送保固] 買華碩指定主機板並完成延長保固登錄，再享 [1年內損壞免費換新] 服務
9,Intel H610 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME H610I-PLUS-CSM(DDR5)(Mini-ITX/Intel 1Gb/註四年)5+1+1相供電, $3590 ◆ ★"
10,Intel H610 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2990 ◆ ★"
11,Intel H610 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM)-[裝機價], $2390 ◆ ★"
12,Intel H610 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME H610M-E-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $3090 ◆ ★"
13,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610M-F D4 R2.0-CSM(M-ATX/LAN 1Gb/註冊四年/2DIMM)5相供電, $2690 ◆ ★ ↓任搭100↓"
14,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610M-F D4 R2.0-CSM(M-ATX/LAN 1Gb/註冊四年/2DIMM)5相-裝機價, $2090 ◆ ★ 熱賣 ↓任搭100↓"
15,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610M-K D4-CSM(M-ATX/1A1H/LAN 1Gb/註冊四年/2DIMM)6+1+1相, $2890 ◆ ★ ↓任搭300↓"
16,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610M-K D4-CSM(M-ATX/1A1H/R 1Gb/2DIMM)6+1+1相-[裝機價], $2290 ◆ ★ 熱賣"
17,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610M-E D4-CSM(M-ATX/1H1P/LAN 1Gb/註冊四年/2DIMM)6+1+1相, $2990 ◆ ★"
18,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME H610I-PLUS D4-CSM(Mini-ITX/1A1H1P/LAN 1Gb/2DIMM)5+1+1相, $3490 ◆ ★"
19,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 H610M K DDR4(M-ATX/1H/LAN 1Gb/註四年/2DIMM)5相供電, $2590 ◆ ★ ↓任搭300↓"
20,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 H610M K DDR4(M-ATX/1H/LAN 1Gb/註四年/2DIMM)5相供電-[裝機價], $1990 ◆ ★ 熱賣"
21,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 H610M H V2 DDR4(M-ATX/1A1H/LAN 1Gb/註四年/2DIMM)6+1+1 相電源, $2690 ◆ ★ ↓任搭190↓"
22,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 H610M S2H V2 DDR4(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源, $2790 ◆ ★"
23,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO H610M-S DDR4(M-ATX/1H/LAN 1Gb/註四年/2DIMM) 5相-裝機價, $1890 ◆ ★ 熱賣"
24,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO H610M-E DDR4(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源, $2290 ◆ ★"
